Name,Artists,Album,Genres
9,Drake,Views,"rap, hip hop"
Pyramids,Frank Ocean,channel ORANGE,"pop, indie"
I Think They Call This Love - Cover,Matthew Ifield,I’ll Be Home For Christmas / I Think They Call This Love (Cover),"pop, indie"
Sparks,Coldplay,Parachutes,"pop, indie"
Patakhi Larki,Mooroo,Patakhi Larki,"indian indie, desi hip hop, hindi indie, hindi hip hop"
Like Him (feat. Lola Young),"Tyler, The Creator; Lola Young",CHROMAKOPIA,"pop, indie"
Ivy,Frank Ocean,Blonde,"pop, indie"
Nights,Frank Ocean,Blonde,"pop, indie"
Paul - 2023 Remaster,Big Thief,Masterpiece (2023 Remaster),"pop, indie"
Pink + White,Frank Ocean,Blonde,"pop, indie"
52 Bars,Karan Aujla; Ikky,Four You,"punjabi pop, punjabi hip hop, bhangra, desi hip hop, desi"
Thinkin Bout You,Frank Ocean,channel ORANGE,"pop, indie"
Pink Matter,Frank Ocean; André 3000,channel ORANGE,"pop, indie"
Truly Madly Deeply - Recorded at Spotify Studios NYC,Yoke Lore,Spotify Singles,"pop, indie"
Pretty Sweet,Frank Ocean,Blonde,"pop, indie"
Toh Kya,Seedhe Maut; Sez on the Beat,Nayaab,"desi hip hop, hindi hip hop, hardcore hip hop, desi"
Nayaab,Seedhe Maut; Sez on the Beat,Nayaab,"desi hip hop, hindi hip hop, hardcore hip hop, desi"
Duniya Makkaar,Karma; Sez on the Beat,Eyes On The Prize,"desi hip hop, hindi hip hop, hardcore hip hop"
Nikes,Frank Ocean,Blonde,"pop, indie"
BILLO,EXCISE DEPT,BILLO,"indian indie, desi hip hop, hindi indie"
Aye Husne Beparwah - Live,Ghulam Ali,Live In India Vol. 1,"ghazal, qawwali, sufi"
Ring Of Fire,Eric Burdon & the Animals,Love Is (Expanded Edition),"psychedelic rock, acid rock"
Dil Hi Dil Mein Sulag Ke,Ghulam Ali,Glimpses Of Ghulam Ali Vol. 3,"ghazal, qawwali, sufi"
My Way,Frank Sinatra,My Way (Expanded Edition),"christmas, big band, adult standards, swing music, vocal jazz, jazz"
Skyline To,Frank Ocean,Blonde,"pop, indie"
Love Brought Weight,Old Sea Brigade,Old Sea Brigade,"indie folk, folk pop"
Kal Chaudhvin Ki Raat Thi,Jagjit Singh,Duniya Jise Kahte Hain,"ghazal, bhajan, qawwali, sufi, devotional"
Redemption (feat. Nemzzz),Kidwild; Nemzzz,Redemption (feat. Nemzzz),uk drill
August,flipturn,Citrona,"pop, indie"
Humko Kiske Gham Ne Maara,Ghulam Ali,Unforgettable Ghulam Ali & Mehdi Hassan,"ghazal, qawwali, sufi"
Niyat-e-Shauq Bhar,Noor Jehan,"Tarannum, Vol. 1","ghazal, qawwali, sufi, exotica"
Gojira,Ikka; Sez on the Beat,Blood Is Better Than Tears,"desi hip hop, hindi hip hop, bollywood, desi, hindi pop"
Mere Jaise Ban Jaoge,Jagjit Singh; Chitra Singh,Stolen Moments,"ghazal, bhajan, qawwali, sufi, devotional"
Indecisive - Is It A Crime,Kidwild,Indecisive (Is It A Crime),uk drill
